论坛当日访问用户数（UV）,_forum_uv
标的,_Subj_Matter
标识,_Ind
标题,_Title
标志,_Flg
标注,_Mark
标准,_Std
表名,_Tbl_Name
表内,_On
表外,_Off
别名,_Alias
拨备,_Provn
波动,_Fluct
补偿,_Comp
补充,_Complt
补件,_Complt
补打,_Reprint
补登,_Patch
补计,_Complt
不含,_Exclude
不良,_Np
不足,_Shortage
步骤,_Step
部分,_Part
部门,_Dept
本息,_Captl_Int
次序,_Seq
财簿,_Fin_Bk
财富,_Wlth
财务,_Fin
财年,_Fin_Year
财政,_Fin
购货,_Purch
采购,_Purch
菜单,_Menu
参加,_Join
参考,_Ref
参数,_Par
参与,_Ptcp
仓库,_Store
操作,_Oper
测量,_Measure
测算,_Calc
测试,_Test
层级,_Level
插入,_Ins
查封,_Distrain
查复,_Qry_Back
查询,_Qry
差别,_Diff
差错,_Err
差额,_Diff
差异,_Diff
拆分,_Split
拆借,_Lend
产品,_Prod
产权,_Prop_Rights
产生,_Create
常驻,_Resident
偿付,_Reimb
偿还,_Repay
厂商,_Maker
厂房,_Indhs
场地,_Site
场所,_Site
敞口,_Expose
钞汇,_Cash_Exchange
超出,_Beyond
超额,_Excess
超级,_Super
超时,_Overtime
超限,_Exceed_Lmt
超证,_Exceed_Lc
超期,_Expiry
车库,_Carport
车辆,_Vehicle
车位,_Carport
撤单,_Cancel
撤消,_Cancel
撤销,_Cancel
称谓,_Title
成功,_Succ
成立,_Estab
成色,_Purity
承兑,_Acpt
承诺,_Cmmt
承销,_Utk
城建,_Constru
城市,_City
乘除,_Multi_Div
程度,_Degree
持仓,_Posi
持股,_Shrhold
持久,_Perm
持有,_Hold
冲补,_Reverse
冲抵,_Reverse
冲减,_Reduce
冲销,_Offset
冲账,_Reverse
冲正,_Reverse
出厂,_Make
出口,_Ex
出库,_Out
出票,_Draw
出入,_Inout
出生,_Birth
出售,_Sell
出账,_Leave_Acct
出租,_Rent
初次,_Fst
初始,_Init
储蓄,_Saving
处理,_Proc
处置,_Dispose
触发,_Trigger
触犯,_Offend
传输,_Transfer
传真,_Fax
船运,_Ship
创建,_Create
纯度,_Purity
次数,s
从到,_From_To
从事,_Work
从业,_Career
促销,_Promt
催收,_Dun
存储,_Save
存单,_Depo
存货,_Inventory
存款,_Dep
存入,_Dep
存在,_Exist
存折,_Passbook
存期,_Store_term
错误,_Err
朝向,_Toward
答案,_Answer
打包,_Pack
打破,_Break
打印,_Print
大额,_Large
大类,_Class
大型,_Large
呆账,_BadDebt
呆滞,_Dull
队列,_Queue
代办,_Agent
代发,_Agent
代付,_Era_Pay
代号,_Code
代缴,_Deduct
代客,_Agent
代扣,_Deduct
代理,_Agent
代码,_Cd
代收,_Collect
代替,_Replace
贷方,_Cr
贷后,_Post_Loan
贷款,_Loan
担保,_Guar
单笔,_Singl
单价,_Unit_Prc
单据,_Doc
利息,_Int
理由,_Rsns
单利,_Singl_Int
单位,_Unit
