终端设备消费者信息汇总-应用市场下载安装日志,DWS_DEVICE_INFO_HISPACE_DOWN_INSTALL_DM
花粉消费者历史,DWD_CUST_FANS_INFO_DS
产品适用机型,DWD_PROD_SUIT_DEVICE_INFO_DM
产品授权区域,DWD_PROD_AUTH_REGION_DM
开发应用历史,DWD_PROD_DEV_APP_INFO_DS
华为视频内容历史,DWD_PROD_HWMOVIE_CONTENT_INFO_DS
华为视频专题历史,DWD_PROD_HWMOVIE_SPEC_INFO_DS
华为视频栏目历史,DWD_PROD_HWMOVIE_CATALOG_INFO_DS
主题分类历史,DWD_PROD_THEME_CLASS_INFO_DS
应用产品历史,DWD_PROD_HISPACE_APP_INFO_DS
礼包信息历史,DWD_MKT_HWGIFT_PACKAGE_INFO_DS
终端产品历史,DWD_PROD_DEVICE_PROD_DS
产品状态历史,DWD_PROD_STATUS_INFO_DS
卡券信息历史,DWD_MKT_COUPON_INFO_DS
主题产品历史,DWD_PROD_THEME_INFO_DS
礼品信息历史,DWD_MKT_GIFT_INFO_DS
业务信息历史,DWD_PROD_SERVICE_INFO_DS
产品关系历史,DWD_PROD_RELA_INFO_DS
产品特征历史,DWD_PROD_FEATURE_INFO_DS
支付信息日快照,DWS_TRADE_INFO_DM
语言代码表,DWD_COMMON_LANGUAGE_CODE
渠道代码表,DWD_CHANNEL_INFO_CODE
开发者历史,DWD_CUST_DEVELOPER_INFO_DS
云服务历史,DWD_PROD_PACKAGE_INFO_DS
性别代码表,DWD_COMMON_GENDER_CODE
国家参数表,DWD_COMMON_COUNTRY_COMMON
代码转换表,DWD_COMMON_CODE_MAPPING
业务信息表,DWD_PROD_SERVICE_INFO
PBI字典表,DWD_COMMON_PBI_INFORMATION
内容产品,DWD_PROD_CONTENT_PROD_INFO_DS
授权区域,_ALLOW_AREA
代码表,DWD_COMMON_INFO_CODE
消费者,DWD_CUST_INFO_DS
云服务,DWD_PROD_PACKAGE_INFO
花粉,DWD_CUST_EUI_DS
产品,DWD_PROD_INFO_DS
适用,_USEABLE
型号,_MODEL
华为,HW_
访问,ACCESS_
设备,DEVICE_
